ID,NOMBRE
1,Austria
2,Belgica
3,Bulgaria
4,Chipre
5,Dinamarca
6,España
7,Finlandia
8,Francia
9,Grecia
10,Hungria
11,Irlanda
12,Italia
13,Luxemburgo
14,Malta
15,Paises bajos
16,Polonia
17,Portugal
18,Reino Unido
19,Alemania
20,Rumania
21,Suecia
22,Letonia
23,Estonia
24,Lituania
25,Republica checa
26,Republica eslovaca
27,Eslovenia
28,Albania
29,Islandia
30,Liechtenstein
31,Monaco
32,Noruega
33,Andorra
34,San marino
35,Santa sede
36,Suiza
37,Ucrania
38,Moldavia
39,Belarus
40,Georgia
41,Bosnia y herzegovina
42,Croacia
43,Armenia
44,Rusia
45,Macedonia 
46,Serbia
47,Montenegro
48,Guernesey
49,Svalbard y jan mayen
50,Islas feroe
51,Isla de man
52,Gibraltar
53,Islas del canal
54,Jersey
55,Islas aland
56,Turquia
